system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,snr_out,si_sdr,stoi,pesq_wb,recovery_s,asr_text
raw,0000,changing_-10,changing,-10.0,False,False,,-12.280561447143555,-11.951394081115723,0.49325817893835655,1.1010847091674805,nan,side of the paper so it's not too much of a more important...
raw,0001,changing_-10,changing,-10.0,False,False,,-10.470352172851562,-10.650671005249023,0.7220070787599192,1.0687333345413208,nan,"Emily Endeavour to direct the series of the service of Annette, though she could not entirely subdue her own to which the"
raw,0002,changing_-10,changing,-10.0,False,False,,-9.951728820800781,-10.078129768371582,0.43005910226518135,1.0514826774597168,nan,I'm going to take a quick look at the difference between the two.
raw,0003,changing_-10,changing,-10.0,True,False,,-10.30448055267334,-10.468334197998047,0.5497751088772678,1.0462961196899414,nan,
raw,0004,changing_-10,changing,-10.0,False,False,,-11.031005859375,-10.91830825805664,0.81363580678028,1.1308459043502808,nan,and to see what the states are for more front. Nothing was actually said about the striking of the flag.
raw,0005,changing_-10,changing,-10.0,True,False,,-10.44548511505127,-10.988946914672852,0.5453869626274955,1.0656355619430542,nan,"the Dutch fishing fleet and their combo. After these first blows against the enemies combo,"
raw,0006,changing_-10,changing,-10.0,False,False,,-11.281320571899414,-11.220785140991211,0.7613069954823891,1.2667789459228516,nan,"No, let those, had not yet. Learn from the American point of view."
raw,0007,changing_-10,changing,-10.0,False,False,,-11.235029220581055,-11.607627868652344,0.45304363343579107,1.0903255939483643,nan,The men got their front and he began to play my own game at home. They sang one...
raw,0008,changing_-10,changing,-10.0,False,False,,-10.204468727111816,-10.209826469421387,0.8308098081336366,1.12099027633667,nan,"of the House of Stuart, including the Princess Royal and the beautiful He-"
raw,0009,changing_-10,changing,-10.0,False,True,,-10.337800979614258,-10.770912170410156,0.7591795681179697,1.0643832683563232,nan,to play with schemes which use more sequestered quarters to arrange their plans.
raw,0010,changing_-10,changing,-10.0,False,True,,-11.345911979675293,-10.936538696289062,0.5772346578098313,1.0941197872161865,nan,and he wanted another. Miss Nelly's on his own.
raw,0011,changing_-10,changing,-10.0,False,False,,-11.17218017578125,-11.037325859069824,0.747412867227978,1.19736909866333,nan,"I used to have a doctor at once, but I implored her as I had never bade for anything before not to send for him."
raw,0012,changing_-10,changing,-10.0,False,False,,-10.741911888122559,-10.786033630371094,0.9317813226771291,1.0466417074203491,nan,"He kept a horse and meat trap, had his wife and two children who were well established in a meat house on the north."
raw,0013,changing_-10,changing,-10.0,False,False,,-11.059547424316406,-10.554994583129883,0.9373849275831547,1.0524309873580933,nan,as might be undertaken by ladies and children on warm afternoons. They hid afterwards
raw,0014,changing_-10,changing,-10.0,False,False,,-10.251904487609863,-10.492378234863281,0.7185179147640427,1.1393896341323853,nan,coupled with the condition that both states should bind themselves not to allow the presence of the no boundaries of the valid...
raw,0015,changing_-10,changing,-10.0,False,False,,-11.764946937561035,-11.600458145141602,0.6747523619747985,1.1486234664916992,nan,at a word from Coppola Chick.
