system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
raw,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,-14.521073341369629,-14.169925689697266,0.9945802231255365,1.9431524276733398,2.844302843311555,3.3268762965794623,2.390322841979309,nan,नेरे चाचा क्रिकेट के शोक्किया खिलाडी हैं
raw,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,-12.807876586914062,-12.829389572143555,0.78833461164325,1.232587456703186,3.2609400405413376,2.0666279339782836,2.074360583067428,nan,रेना को एक और जद्काचन नहीं चुपर किंज नहीं की आरी टेन
raw,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,-10.618814468383789,-10.769630432128906,0.44972384294748574,1.0358062982559204,1.5832789605269266,1.6572292022532806,1.2399313388465447,nan,"fine clothes, good eating, and particularly the company and acquaintanceship of successful men."
raw,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,-10.132848739624023,-10.585653305053711,0.7915497460165821,1.107853651046753,3.4478256762019743,3.034057845329204,2.6606921681818974,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
raw,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,-10.270012855529785,-10.020023345947266,0.7362874905063002,1.0836818218231201,3.528053332598405,3.3112408629888104,2.7836939432704595,nan,the accession of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
raw,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,-9.518128395080566,-9.534550666809082,0.5739992959141202,1.180700659751892,3.477274933337104,3.457587613408189,2.8707551986706945,nan,Boiled perch with oyster sauce. Prepare and clean the fish.
raw,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,-11.606269836425781,-11.819528579711914,0.6486873113680799,1.0660817623138428,1.5023267761579777,1.4357428137139638,1.2664494213250572,nan,अपने ब्लाडियों पर लख्ट्यूए द्हूनी योज़्ाद्ता भी किया बचाओ.
raw,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,-11.52579402923584,-12.069291114807129,0.576259691288804,1.0933772325515747,1.1868803929621699,1.1234068004722948,1.060312401577687,nan,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अग
raw,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,-10.287800788879395,-10.63780403137207,0.6856768899525058,1.1946791410446167,3.5853990163552405,2.0461375480039323,2.2848415111315363,nan,were on the side of our enemies. The dark ocean fleets covered the seas and the welfare of our enemies.
raw,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,-11.592904090881348,-12.348241806030273,0.6621098092012445,1.0663257837295532,3.346222597805392,2.1748876912212207,2.1763946466687845,nan,अदिन अदिन प्रज़ा विक्न्सी करे अपलाई अदिन अदिन प्रज़ा विक्न्सी करे अपलाई
