system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
ckpt:runs/vaani_full_r3/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,17.575151443481445,17.512939453125,0.9895781938458973,2.53822922706604,3.230960943105321,4.138946558593237,2.8819578600617706,nan,वेरे चाचा क्रिकेट के शोक्किया खिलाडी हैं
ckpt:runs/vaani_full_r3/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,12.621004104614258,12.383357048034668,0.9374122593655742,2.2010085582733154,2.9928889647672223,3.9781352083768082,2.671719291463527,nan,रेना कोई ख़द का चिन नहीं चुपर किंज नहीं की आरी टेन अगर देएं
ckpt:runs/vaani_full_r3/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,6.853849411010742,5.951714992523193,0.803610487647785,1.2367022037506104,3.0437541728919015,3.719283059276302,2.688257555310602,nan,"fine clothes, good eating, in particular, a company and a point of shift of successful bed."
ckpt:runs/vaani_full_r3/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,10.59343433380127,10.203938484191895,0.9115397601426504,1.6162769794464111,3.2872453669952444,3.576796244183863,2.8254415899624745,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
ckpt:runs/vaani_full_r3/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,10.071447372436523,9.65395450592041,0.9043743528255926,1.477469563484192,3.508357056638098,4.148875473233814,3.231356627659299,nan,a session of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
ckpt:runs/vaani_full_r3/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,6.683135986328125,5.841337203979492,0.6648148108217748,1.9564518928527832,3.4742160740227486,4.11670238454573,3.190277074895624,nan,Boiled perch with oyster sauce. Prepare and clean the fish and
ckpt:runs/vaani_full_r3/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,6.521038055419922,5.482859134674072,0.8089405909296788,1.4103188514709473,2.8921493707148525,4.0545242269898685,2.565222359671642,nan,अपने किटारी आपने लख्च्ट्ट्वे भूनी योर्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
ckpt:runs/vaani_full_r3/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,10.823713302612305,10.564617156982422,0.8100968287767127,1.4311609268188477,2.519758873860849,3.88937629955446,2.131247695598737,nan,
ckpt:runs/vaani_full_r3/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,4.9502854347229,3.287595748901367,0.7952747263173199,1.2222609519958496,3.43553557583832,3.7957787184676883,3.049539024636454,nan,"were on the side of the base. The dunes, which had fleets covered the seas and the welfare"
ckpt:runs/vaani_full_r3/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,5.360369682312012,3.91900634765625,0.7385667847554058,1.44561767578125,2.36799740979395,3.1884046041169856,1.8359608537066552,nan,अदिन लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे लेंगे विक्टन्सी परे अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अपलाई अप
ckpt:runs/vaani_full_r3/best.pt,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_26131771,-10.611377716064453,-10.020650863647461,0.8882421028539932,2.7012994289398193,2.6660825210440136,3.712492753565697,2.300824017410604,nan,तने वाद आईंस्टीन
ckpt:runs/vaani_full_r3/best.pt,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26131962,10.547887802124023,10.251851081848145,0.78370601168667,1.5991995334625244,2.747917789836257,3.8671783801824926,2.4689210008556675,nan,बवावट चल रहा है
ckpt:runs/vaani_full_r3/best.pt,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27761476,9.924887657165527,9.523390769958496,0.7905026553594714,1.7321863174438477,2.526560537943496,4.0560099354213515,2.106271930495573,nan,जिन्दार भिली के जित जाएख़े सब वुड़
ckpt:runs/vaani_full_r3/best.pt,0013,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_38227751,6.173466682434082,4.976385116577148,0.732414789190918,1.6288273334503174,2.990087129048842,3.819165484054566,2.670965445817829,nan,"minä oot onnistunut, että hän ei pysty ikky kahdalla monissa gruuttamme."
ckpt:runs/vaani_full_r3/best.pt,0014,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0032,4.167455673217773,2.1672918796539307,0.8097617283208812,1.4218887090682983,2.8287698599292748,3.5534895994308124,2.4579054619881844,nan,But popular feeling on both sides was now around.
ckpt:runs/vaani_full_r3/best.pt,0015,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26127944,11.408308982849121,11.14920425415039,0.7877230357326479,1.3418219089508057,2.8137797388370918,4.056438567391316,2.473369596662382,nan,अप देखे अम्ताद पेट्वेट्र पालोवाश जान्य पीचे ती अस्नी तहाने
ckpt:runs/vaani_full_r3/best.pt,0016,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27749300,4.6478776931762695,3.240908622741699,0.6487692638347544,1.5657480955123901,2.518116860453819,3.3697244772345516,1.9334723675763303,nan,Thank you.
ckpt:runs/vaani_full_r3/best.pt,0017,changing_-10,changing,-10.0,False,False,,,ls:2007-132570-0023,6.244363307952881,5.067136764526367,0.6954675563737133,1.2808988094329834,1.667619632662172,3.453676633255392,1.4886792756407723,nan,"It's small, rise up, definitely. No, no, society. There is reason."
ckpt:runs/vaani_full_r3/best.pt,0018,changing_-10,changing,-10.0,False,False,,,ls:1926-147987-0028,7.203474521636963,6.30249547958374,0.8351735680869843,1.3639699220657349,2.5706297907582507,3.960041473379256,2.2741386275249154,nan,earlier than his wife by any one of the dozen simpler devices. He could have left her in the OMA office.
ckpt:runs/vaani_full_r3/best.pt,0019,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27749267,5.248828411102295,3.902299165725708,0.7414746317798685,1.2954350709915161,2.357214760238534,3.718491638829555,2.0892343098765904,nan,Asambandhi sport me
ckpt:runs/vaani_full_r3/best.pt,0020,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35077906,7.84194278717041,7.612170219421387,0.6047162218025518,1.250406265258789,2.668914650690725,3.971774404314737,2.3192669991225427,nan,
