id,bucket,asr_text
0000,changing_-10,मेरे चाचा क्रिकेट के शोक्किया खिलाडी है
0001,changing_-10,रेना को एक और जद्काचन नहीं चुपर किंज नहीं की आरी टेन.
0002,changing_-10,"fine clothes, good eating, and particularly the company and acquaintanceship of successful men."
0003,changing_-10,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
0004,changing_-10,the Assession of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
0005,changing_-10,Boiled perch with oyster sauce. Prepare and clean the fish and
0006,changing_-10,अपने खिलाडियों पर लख्टू हुए दोनी योराज का भी किया बचाओ.
0007,changing_-10,बलेक्रोग सुलिष्यन्स प्रवित लिमिट्ट गुड़ गावा में जावा देवल परकी वैखन सीए
0008,changing_-10,were on the side of their enemies. The Dutch merchant fleets covered the seas and the welfare of the land.
0009,changing_-10,अदिन नेवी रेक्रूट मेंट कई पढोपर है वेकन्सी करे अपलाई
0010,changing_-10,तने वाद आईंस्टीन
0011,changing_-10,बहें आववचल रहा है
0012,changing_-10,जिन्दा दिलिके जिते जागते सबूद
0013,changing_-10,ملا ماتون کرنے پیئے موڈی کو کہا مانسی گروب سے بیمار
0014,changing_-10,But popular feeling on both sides was now aroused.
0015,changing_-10,अपने गटे गय अमिताब के तुटर फालोर्र्स जानी ये पीचे की असली कहानी अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने �
0016,changing_-10,दर्म दूज फाराने के साथ नासिक में शुग वा महापर्व सीहस्त कुम्ब
0017,changing_-10,till he makes them all rise up dead men.
0018,changing_-10,"earlier than his wife by any one of a dozen simpler devices. He could have left her in the Omaha,"
0019,changing_-10,असम बम विस्वोट में एक की मोद तीं गायल
0020,changing_-10,रावत निदिया ता नमिल को गजनी कानिवता
0021,changing_-10,मैं गर गया और रोयां
0022,changing_-10,पता नहीं यहां क्या चल रहा है
0023,changing_-10,Would you say your turn say
