system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,recovery_s,asr_text
ckpt:runs/vaani_full_sp_r2/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,18.637773513793945,18.57953643798828,0.9944992861100308,2.646519660949707,nan,वेरे चाचा क्रिकेट के शोक्किया खिलाडी हैं
ckpt:runs/vaani_full_sp_r2/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,13.739129066467285,13.575902938842773,0.9382987838244585,2.172513484954834,nan,रेना को एक ओजद का चिन नहीं चुपर किंज नहीं की आरी टेन.
ckpt:runs/vaani_full_sp_r2/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,6.852405548095703,5.991756916046143,0.7976013834868734,1.2085553407669067,nan,"fine clothes, good eating, in particular elite company, and a point of shift of successful bed."
ckpt:runs/vaani_full_sp_r2/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,10.993757247924805,10.659379005432129,0.9100197863130677,1.614499568939209,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
ckpt:runs/vaani_full_sp_r2/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,10.22022819519043,9.816482543945312,0.9077911314393756,1.595905065536499,nan,a session of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
ckpt:runs/vaani_full_sp_r2/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,6.083446025848389,5.037702560424805,0.6536938809019653,1.983689308166504,nan,Boiled perch with oyster sauce. Prepare and clean the fish and
ckpt:runs/vaani_full_sp_r2/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,6.21063756942749,5.043086051940918,0.8024766581864462,1.3782728910446167,nan,अपने किब्रादियों पर लटक्वूँएद रोनी योध्वाँ भी किया बचाओ.
ckpt:runs/vaani_full_sp_r2/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,11.026416778564453,10.942394256591797,0.8301770478796857,1.4718818664550781,nan,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अग
ckpt:runs/vaani_full_sp_r2/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,4.469693660736084,2.5660171508789062,0.7664008846444481,1.1764603853225708,nan,were on the... the dun... sleets covered the seas and the welfare...
ckpt:runs/vaani_full_sp_r2/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,5.244540214538574,3.7602627277374268,0.7298110778556569,1.5269032716751099,nan,अदिन लिएडिन लोबर है विकन्सी करे अपलाई
ckpt:runs/vaani_full_sp_r2/best.pt,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_26131771,0.6032554507255554,1.2148151397705078,0.8746048030778186,2.430140733718872,nan,तने वाद आईंस्टीन
ckpt:runs/vaani_full_sp_r2/best.pt,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26131962,10.429553985595703,10.056185722351074,0.7823193314183592,1.6033921241760254,nan,बहाँ आवचल रहा है
ckpt:runs/vaani_full_sp_r2/best.pt,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27761476,9.731348991394043,9.275732040405273,0.7895947617572667,1.5459243059158325,nan,जी तुग जाए सब बुर्ट अप आप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप प्रद अप �
