system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
rnnoise,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,14.51999568939209,14.511771202087402,0.9846014586677285,2.174842357635498,3.3306829813837386,4.055002886465973,2.9833223207163386,nan,वेरे चाचा क्रिकेट के शोक्किया खिलाडी हैं
rnnoise,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,11.794506072998047,11.506147384643555,0.9209947735421588,1.6546096801757812,3.3722119550535252,3.910863103752523,3.0181308417259824,nan,रेना को एक और चखाचन नहीं तुपर किंखस नहीं नहीं की रेटेन.
rnnoise,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,5.236027717590332,3.6901159286499023,0.7966889546870778,1.0895637273788452,2.925723460269505,3.9081429104428853,2.6723488372186983,nan,"fine clothes, good eating, in particular, lead to company and acquaintanceship of successful men."
rnnoise,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,6.927056789398193,5.944471836090088,0.874258551667053,1.527017593383789,3.2842047896598143,3.7431275983599503,2.9323574107399417,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
rnnoise,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,7.153608322143555,6.257989883422852,0.8927023287599093,1.3701894283294678,3.541973836653375,4.152396217956605,3.261684782438271,nan,"session of Cromwell to Supreme Power in December, 653, with the title of Lord Protector."
rnnoise,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,4.457804203033447,2.5398306846618652,0.5954113509046094,1.3432867527008057,3.4474869038851894,4.130441612116745,3.175004023690729,nan,Boiled perch with oyster sauce. Prepare and clean the fat.
rnnoise,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,5.447103500366211,4.003113746643066,0.7901868335696636,1.3025015592575073,2.9853802004421772,4.008467684202542,2.638692483929109,nan,अपने इप्लारीगों पर लख्वट्मूनी योज़्ा भी की आब जाव।
rnnoise,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,6.170166969299316,5.158510208129883,0.7225577356298432,1.1329084634780884,2.291827566921048,3.5904016536042587,1.8266271583839673,nan,बलक सेगीश्या चार्दी चीडी चीडी जीवावाद लोग पर पीणा का निशें
rnnoise,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,3.1601076126098633,0.30124473571777344,0.7153178689501156,1.148549199104309,3.590275079071801,4.078346133353602,3.321607707938088,nan,were on the... the dunes. Moots covered the seas and the welfare...
rnnoise,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,4.490258693695068,2.6854124069213867,0.7304024757904306,1.3684340715408325,2.87197660539832,3.6487778379679066,2.3464548527713687,nan,अदिन बादिन पर है विकन्सी करे अपलाए
