system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,17.96225357055664,18.081642150878906,0.9940397811890815,2.6357481479644775,3.2572606922052216,4.119191056888051,2.8947524220678624,nan,वेरे चाचा क्रिकेट के शोक्किया खिलाडी हैं
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,13.124593734741211,12.911628723144531,0.9390291199170594,2.2171151638031006,3.0197198630722744,3.976510713424058,2.691932544986906,nan,रेना को एक और जद्काचिन ने चुपर किंज ने नहीं की रेटेन ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने ने
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,6.795180320739746,5.8483452796936035,0.8019040872012213,1.2274765968322754,3.026743790689626,3.6609766758689,2.6517348325432746,nan,"fine clothes, good eating, in particular elite company, and a point of shift of successful bed."
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,9.725324630737305,9.245803833007812,0.9104859811732913,1.6110337972640991,3.3374479295448696,3.4289566238476294,2.7927620112319547,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,10.485977172851562,10.08174991607666,0.9076412781420927,1.5465596914291382,3.4750075425565417,4.1360814491038695,3.196091394276529,nan,a session of Cromwell to Supreme Power in December 1653 with the title of Lord Protector
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,7.075846195220947,6.293722152709961,0.6876513124366291,2.1040635108947754,3.502436485887722,4.068214253621277,3.1844991890252925,nan,Boiled perch with oyster sauce. Prepare and clean the fish and
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,6.730661869049072,5.746973991394043,0.8118550980985534,1.434356689453125,3.016752348616568,4.053799039514103,2.696733936098365,nan,अपने किषाडियों पर लख्ष्वे भूनी योर्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,10.829109191894531,10.526435852050781,0.8131913653988687,1.4534032344818115,2.5987984445063037,3.9067760699407454,2.190099302546521,nan,
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,5.018000602722168,3.3817930221557617,0.7908318689967766,1.2138445377349854,3.427529780260732,3.704591895486839,2.9945946527525478,nan,were on the enemies. The duck fleets covered the seas and the welfare
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,5.4973297119140625,4.149368762969971,0.7490381838412488,1.5533831119537354,2.324560161362086,3.415454417706475,1.875794013721324,nan,अदिन अदिन लोपर है वेकन्सी करे अपलाई
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_26131771,-9.24045181274414,-8.602700233459473,0.8779131211564154,2.608764171600342,2.5763874838749055,3.5679888494097236,2.2530406459412218,nan,तने वाद आईन्स्टीन
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26131962,10.584440231323242,10.309223175048828,0.7831132356707264,1.6066640615463257,2.8250319897168112,3.9144903499333976,2.5530650913338153,nan,बआववचल राए
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27761476,9.936239242553711,9.474161148071289,0.8245416901606659,1.7614729404449463,2.559393856380606,4.0572149289893416,2.1346330061896275,nan,जीट तुभ जाएब ते सब भूड
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0013,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_38227751,6.198168754577637,5.007541179656982,0.7364230279523865,1.6382206678390503,3.0374924612692262,3.8863353060804107,2.729188385784166,nan,"millä on matolle, kun on ikky kahdemaan suuri groupsa viime ajan."
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0014,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0032,4.175571441650391,2.1852028369903564,0.8159478596932173,1.4323985576629639,2.63207542625185,3.5485345516064903,2.2946796746408307,nan,The popular feeling on both sides was now around.
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0015,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26127944,11.411039352416992,11.218613624572754,0.7970249502601469,1.3549220561981201,2.8771194582612387,4.075937557654162,2.543092728023625,nan,अद्रे अम्ताद प्रिक्टेटर पालोवास जान्ये पीचे कि अस्निताण नुए
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0016,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27749300,5.494945526123047,4.205826759338379,0.6569929002406819,1.5974516868591309,2.7122094903195144,3.2529045355502517,2.0303631722980136,nan,Thank you.
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0017,changing_-10,changing,-10.0,False,False,,,ls:2007-132570-0023,6.182187080383301,4.995003700256348,0.7000022364411838,1.2424137592315674,1.6962897728778241,3.4231195140449984,1.5095961407581073,nan,"It's small, rise up, definitely. No, no, society. There is reason."
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0018,changing_-10,changing,-10.0,False,False,,,ls:1926-147987-0028,7.358755111694336,6.480252742767334,0.8394326286380137,1.3723806142807007,2.6386548537927474,3.8608099072198296,2.2919085285814536,nan,earlier than his wife by any one of the dozen simpler devices. He could have left her in the OMA office.
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0019,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27749267,5.479290962219238,4.159485340118408,0.7513561056924206,1.335824966430664,2.3289753041405463,3.7774872669698603,2.0623069645475396,nan,"Asambang, this board may end."
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0020,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35077906,8.078536033630371,7.817999839782715,0.6176513482739796,1.2262986898422241,2.771615026043255,3.9486450404937274,2.407377528060543,nan,"Права, то відбігать нахуй, бо зникла мотал."
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0021,changing_-10,changing,-10.0,True,False,,,cvhi:common_voice_hi_26088250,8.420437812805176,7.816642761230469,0.7141316308629201,1.3958090543746948,2.0396323172392496,3.2492102031549823,1.7802554459316546,nan,ना गर गया और या
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0022,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24758420,5.885106086730957,4.964544296264648,0.7801082253746122,1.347295880317688,2.5728947089081036,3.996663060674406,2.2623593647673585,nan,बता ने ही आप या पुंगा आप है
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0023,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26018198,12.530141830444336,12.514505386352539,0.6795959799416816,1.3006999492645264,2.673529869529414,3.9365036475080037,2.3362169715778762,nan,Would you say you're turning the same?
ckpt:runs/vaani_full_r3_dflr_s1/best.pt,0024,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_25188823,7.670285224914551,7.11143684387207,0.8646951445648656,1.4124035835266113,2.565932866675631,3.8513803683416095,2.243726398955121,nan,अप्सुप रिबलेस करेंगी भिद्या बालन अप्वा है बिक्रम पटनेस
