system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,recovery_s,asr_text
ckpt:runs/vaani_full/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,15.521055221557617,15.401615142822266,0.9947502594580595,2.451456308364868,nan,वेरे चाचा क्रिकेट के शोक्किया खिलाडी है
ckpt:runs/vaani_full/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,5.270779609680176,4.759191989898682,0.9383428876605864,2.109041929244995,nan,रेना को एक और जद्काचिन नहीं चुपर किंख्स नहीं की आरी टेन
ckpt:runs/vaani_full/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,6.8642802238464355,6.048722267150879,0.8068645573723077,1.2183966636657715,nan,"fine clothes, good eating, in particular, a company and a point of shift of successful bed."
ckpt:runs/vaani_full/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,11.06820297241211,10.78243637084961,0.9107380038469504,1.6057775020599365,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
ckpt:runs/vaani_full/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,10.281095504760742,9.943079948425293,0.9070437457578306,1.5796195268630981,nan,session of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
ckpt:runs/vaani_full/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,6.889819145202637,5.9970383644104,0.6842057341815923,2.0223305225372314,nan,Boiled perch with oyster sauce. Prepare and clean the fish and
ckpt:runs/vaani_full/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,5.962962627410889,4.713971138000488,0.809590595109478,1.3691257238388062,nan,अपने ज़्ाडियों पर लग्खुडवेट होनी योध्टाभी की आब जाएग.
ckpt:runs/vaani_full/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,10.966938018798828,10.929876327514648,0.8342909338659513,1.4531923532485962,nan,अगर बाद़ा पर परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वाँ परच्वा�
ckpt:runs/vaani_full/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,4.5486979484558105,2.7091078758239746,0.7721399778393706,1.1830209493637085,nan,were on the... the dunce. Sleets covered the seas and the welfare...
ckpt:runs/vaani_full/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,5.189082622528076,3.767590284347534,0.7468523664569656,1.530850887298584,nan,अदिन लेंगिर दो पर है वेकन्सी करे अपलाए
