system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,recovery_s,asr_text
nlms_only,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,-4.209496021270752,-12.285452842712402,0.8653040858214173,1.4838507175445557,nan,अगर बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बादा बा
nlms_only,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,4.61411190032959,3.2351396083831787,0.8534712495784423,1.3180882930755615,nan,रेना को एक और जद्का चिन ने शुपर किंज ने नहीं की रेटेन अगर ना वो प्रट्गाँ प्रट्गाँ प्रट्गाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ प्रटगाँ
nlms_only,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,-7.334158897399902,-12.947134971618652,0.34346512343505503,1.0336248874664307,nan,and a quaintance ship of successful men.
nlms_only,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,-17.67218589782715,-20.45135498046875,0.6943100635614023,1.058598518371582,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
nlms_only,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,-8.161890029907227,-10.454940795898438,0.6840137828447812,1.1068631410598755,nan,the accession of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
nlms_only,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,-4.042603015899658,-13.681720733642578,0.5871414214706707,1.2957160472869873,nan,Boiled birch with oyster sauce. Prepare and clean the fish and...
nlms_only,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,-17.296031951904297,-20.192241668701172,0.6061348001009407,1.0477632284164429,nan,अपने बिलारी आपन लट्ट्ट्वर भूनी योड्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
nlms_only,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,1.6598289012908936,-1.1704317331314087,0.6674135776526134,1.1718404293060303,nan,अगर अप शलीशन श्वादित बुद्गाँ में जाववध अप पर की बाखन सी
nlms_only,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,-11.93570613861084,-15.663714408874512,0.6715769217086913,1.060764193534851,nan,were on the side of our enemies. The double-culture fleet covered the seas and the welfare of our enemies.
nlms_only,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,-6.0955119132995605,-13.115583419799805,0.5957045152974143,1.0670523643493652,nan,अदिन यानिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए लिए �
